OTU_ID	P11	P12	P13	S1	S2	S3	V2	V3
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	0.0	0.0	0.0	955.0	2126.0	2075.0	152.0	188.0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Pla1_lineage;f__Pla1_lineage;g__Pla1_lineage	0.0	22.0	6.0	44.0	52.0	22.0	0.0	12.0
d__Bacteria;p__Planctomycetota;c__Pla3_lineage;o__Pla3_lineage;f__Pla3_lineage;g__Pla3_lineage	0.0	27.0	22.0	241.0	238.0	471.0	12.0	33.0
d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__uncultured;f__uncultured;g__uncultured	0.0	0.0	0.0	163.0	200.0	79.0	30.0	32.0
d__Bacteria;p__Armatimonadota;c__uncultured;o__uncultured;f__uncultured;g__uncultured	0.0	0.0	0.0	250.0	468.0	193.0	32.0	89.0
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__661239;f__661239;g__661239	0.0	0.0	9.0	31.0	55.0	27.0	34.0	91.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__AT-s2-59;f__AT-s2-59;g__AT-s2-59	0.0	0.0	0.0	0.0	0.0	0.0	33.0	11.0
d__Bacteria;p__FCPU426;c__FCPU426;o__FCPU426;f__FCPU426;g__FCPU426	0.0	0.0	0.0	175.0	266.0	141.0	20.0	42.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	0.0	0.0	0.0	30.0	44.0	162.0	35.0	118.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella	0.0	0.0	0.0	0.0	28.0	23.0	11.0	15.0
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__uncultured	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Schekmanbacteria;c__Schekmanbacteria;o__Schekmanbacteria;f__Schekmanbacteria;g__Schekmanbacteria	6.0	177.0	76.0	47.0	54.0	37.0	82.0	121.0
d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__Fermentibacteraceae	0.0	0.0	10.0	0.0	0.0	0.0	4.0	0.0
d__Bacteria;p__Sva0485;c__Sva0485;o__Sva0485;f__Sva0485;g__Sva0485	38.0	202.0	169.0	10152.0	11270.0	10312.0	1622.0	2334.0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__uncultured	0.0	0.0	0.0	261.0	201.0	89.0	11.0	0.0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__MSBL9;f__SG8-4;g__SG8-4	5.0	21.0	68.0	785.0	647.0	360.0	132.0	246.0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Paludibaculum	0.0	0.0	0.0	100.0	81.0	46.0	11.0	42.0
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;__;__	0.0	0.0	0.0	88.0	64.0	7.0	2.0	7.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter	0.0	0.0	0.0	19.0	29.0	13.0	20.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.0	0.0	0.0	19.0	9.0	17.0	9.0	0.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pir4_lineage	279.0	752.0	539.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__ADurb.Bin063-1	0.0	0.0	0.0	2055.0	2055.0	2157.0	113.0	154.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__;__	1437.0	1932.0	1188.0	527.0	579.0	289.0	92.0	202.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Bogoriellaceae;g__Georgenia	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__uncultured	6.0	31.0	121.0	21.0	15.0	0.0	63.0	23.0
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190	3.0	55.0	0.0	12.0	34.0	35.0	40.0	39.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured	67.0	450.0	356.0	158.0	136.0	191.0	56.0	130.0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__Haliangium	4.0	0.0	35.0	236.0	193.0	319.0	43.0	38.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast	0.0	170.0	291.0	264.0	72.0	68.0	254.0	53.0
Unassigned;__;__;__;__;__	0.0	12.0	0.0	64.0	279.0	610.0	2654.0	964.0
d__Bacteria;p__Acidobacteriota;c__AT-s3-28;o__AT-s3-28;f__AT-s3-28;g__AT-s3-28	0.0	36.0	39.0	5.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium]_innocuum_group	0.0	0.0	0.0	8.0	19.0	21.0	6.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;__	0.0	0.0	0.0	37.0	36.0	0.0	0.0	0.0
d__Bacteria;p__Desulfobacterota;c__uncultured;o__uncultured;f__uncultured;g__uncultured	0.0	0.0	36.0	4682.0	5275.0	4423.0	680.0	998.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta	0.0	131.0	83.0	2107.0	2216.0	1410.0	411.0	475.0
d__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Kerfeldbacteria;f__Candidatus_Kerfeldbacteria;g__Candidatus_Kerfeldbacteria	0.0	0.0	2.0	33.0	27.0	6.0	0.0	2.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae;g__Lentimicrobiaceae	0.0	23.0	8.0	402.0	186.0	136.0	48.0	5.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	1007.0	4992.0	2987.0	1537.0	1702.0	1233.0	390.0	396.0
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__SEEP-SRB1	80.0	0.0	283.0	0.0	0.0	0.0	141.0	171.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__F082	0.0	0.0	0.0	4.0	0.0	6.0	0.0	16.0
d__Bacteria;p__WOR-1;c__WOR-1;o__WOR-1;f__WOR-1;g__WOR-1	0.0	0.0	3.0	950.0	1048.0	1268.0	164.0	268.0
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__FW22;f__FW22;g__FW22	0.0	7.0	60.0	93.0	59.0	82.0	84.0	150.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__uncultured;g__uncultured	137.0	1077.0	491.0	0.0	0.0	0.0	8.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group	0.0	0.0	0.0	9.0	14.0	17.0	0.0	36.0
d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;f__Omnitrophaceae;g__Candidatus_Omnitrophus	0.0	0.0	0.0	1586.0	2206.0	1219.0	184.0	358.0
d__Bacteria;p__Abditibacteriota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae;g__Abditibacterium	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group	0.0	0.0	0.0	9.0	9.0	42.0	19.0	15.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031;g__SBR1031	57.0	655.0	562.0	102.0	98.0	286.0	447.0	280.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001	0.0	0.0	0.0	54.0	58.0	164.0	35.0	130.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Ruminiclostridium	0.0	0.0	0.0	82.0	164.0	0.0	5.0	11.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria	0.0	0.0	0.0	14.0	14.0	0.0	0.0	39.0
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__uncultured	0.0	209.0	165.0	0.0	0.0	0.0	76.0	0.0
d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantales;g__Aminicenantales	249.0	452.0	1035.0	1151.0	1934.0	1203.0	277.0	489.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014	0.0	0.0	0.0	115.0	145.0	276.0	80.0	193.0
d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B);o__SAR324_clade(Marine_group_B);f__SAR324_clade(Marine_group_B);g__SAR324_clade(Marine_group_B)	42.0	115.0	58.0	809.0	844.0	774.0	180.0	144.0
d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96;g__KD4-96	153.0	812.0	441.0	306.0	268.0	382.0	33.0	49.0
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__Desulfatiglandaceae;g__Desulfatiglans	212.0	314.0	549.0	818.0	795.0	648.0	722.0	968.0
d__Bacteria;p__NB1-j;c__NB1-j;o__NB1-j;f__NB1-j;g__NB1-j	141.0	338.0	309.0	0.0	0.0	0.0	6.0	0.0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;__;__;__	2.0	0.0	0.0	38.0	10.0	35.0	4.0	11.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Hahellaceae;g__Hahella	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Cephaloticoccus	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0
